Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
baomidou/dynamic-datasource-spring-boot-starter,https://github.com/baomidou/dynamic-datasource-spring-boot-starter,master,13e5c6fff2f30ef725120e3190a393e4c7c2bb67,3767,981,13/12/2022 17:45:47
software-mansion/react-native-svg,https://github.com/software-mansion/react-native-svg,main,b3dc36ab01d5b6e6335e30f0f442099a3dedef16,6498,981,13/12/2022 17:45:47
niuxdexiaobai/Meizhi,https://github.com/niuxdexiaobai/Meizhi,master,bd9059849c7381c04b7c893b966ece35a39626cc,16,984,13/12/2022 17:45:47
seven332/EhViewer,https://github.com/seven332/EhViewer,master,ba6d41b91f53b0835f73fb2903b5c4ff1259786c,7466,984,13/12/2022 17:45:47
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins,master,cc5c03b317c796e8c69a3885f2636dde0173f0d5,1903,987,13/12/2022 17:45:47
camunda-consulting/camunda-7-code-examples,https://github.com/camunda-consulting/camunda-7-code-examples,master,236f5e28e2c603a9214d41507b0f900886cb979d,541,989,13/12/2022 17:45:47
mock-server/mockserver,https://github.com/mock-server/mockserver,master,6cdd42edae842ad0b6f25cab1d958f914c5e4e52,3957,989,13/12/2022 17:45:47
spring-projects/spring-data-mongodb,https://github.com/spring-projects/spring-data-mongodb,main,187f260fe4d868f76f9b2a9b08b01d05fa82f4ab,1472,989,13/12/2022 17:45:47
Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,master,dfd152d421160a6bb81b1ae15ff296f7988d8f4b,6364,989,13/12/2022 17:45:47
chrisbanes/ActionBar-PullToRefresh,https://github.com/chrisbanes/ActionBar-PullToRefresh,master,f347ef96c2643fecee7cbf671db05c0487666dff,3180,991,13/12/2022 17:45:47
jacoco/jacoco,https://github.com/jacoco/jacoco,master,8a367e300688f923067c2af45f5e8785b8f80062,3450,992,13/12/2022 17:45:47
NightscoutFoundation/xDrip,https://github.com/NightscoutFoundation/xDrip,master,5ea552c6f702078e832b443ef1ea20f3ccee6ab2,1022,993,13/12/2022 17:45:47
sebsto/webapp,https://github.com/sebsto/webapp,master,06516c1009acfacb401f504c1023954f4d2c7df6,2,993,13/12/2022 17:54:08
mercyblitz/segmentfault-lessons,https://github.com/mercyblitz/segmentfault-lessons,master,c67450acb62a086b7c1276c7f66ab7698427f9d9,1435,994,13/12/2022 17:45:47
alibaba/QLExpress,https://github.com/alibaba/QLExpress,master,e9469df8ade773f8097a777bb66911a6cab25045,3818,996,13/12/2022 17:45:47
jpush/aurora-imui,https://github.com/jpush/aurora-imui,master,fb74b79288d38b8817ca24abced7bb4bc9b18c4b,5593,996,13/12/2022 17:45:47
macrozheng/mall-tiny,https://github.com/macrozheng/mall-tiny,master,53d947b0aec85b4fca7b69804d7ded106a05c1d2,1379,996,13/12/2022 17:45:47
